ID,SPKID,FULL NAME,NAME,NEO,PHA,MAG,DIAMETER
a0000507,2000507,507 Laodica (1903 LO),Laodica,N,N,9.2,45.17
a0000508,2000508,508 Princetonia (1903 LQ),Princetonia,N,N,8.4,117.241
a0000509,2000509,509 Iolanda (1903 LR),Iolanda,N,N,8.4,51.892
a0000510,2000510,510 Mabella (1903 LT),Mabella,N,N,9.8,60.45
a0000511,2000511,511 Davida (1903 LU),Davida,N,N,6.3,270.327
a0000512,2000512,512 Taurinensis (1903 LV),Taurinensis,N,N,10.8,23.09
a0000513,2000513,513 Centesima (1903 LY),Centesima,N,N,9.5,48.805
a0000514,2000514,514 Armida (1903 MB),Armida,N,N,9.2,120.093
a0000515,2000515,515 Athalia (1903 ME),Athalia,N,N,10.8,41.19
a0000516,2000516,516 Amherstia (1903 MG),Amherstia,N,N,8.2,65.144
a0000517,2000517,517 Edith (1903 MH),Edith,N,N,9.5,111.89
a0000518,2000518,518 Halawe (1903 MO),Halawe,N,N,11,16.157
a0000519,2000519,519 Sylvania (1903 MP),Sylvania,N,N,9,40.078
a0000520,2000520,520 Franziska (1903 MV),Franziska,N,N,10.6,25.261
a0000521,2000521,521 Brixia (1904 NB),Brixia,N,N,8.5,107.227
a0000522,2000522,522 Helga (1904 NC),Helga,N,N,9,101.22
a0000523,2000523,523 Ada (1904 ND),Ada,N,N,9.9,31.89
a0000524,2000524,524 Fidelio (1904 NN),Fidelio,N,N,9.9,65.527
a0000525,2000525,525 Adelaide (1908 EKa),Adelaide,N,N,12.1,9.326
a0000526,2000526,526 Jena (1904 NQ),Jena,N,N,10.1,44.84
a0000527,2000527,527 Euryanthe (1904 NR),Euryanthe,N,N,10.4,52.627
a0000528,2000528,528 Rezia (1904 NS),Rezia,N,N,9,91.966
a0000529,2000529,529 Preziosa (1904 NT),Preziosa,N,N,10,32.01
a0000530,2000530,530 Turandot (1904 NV),Turandot,N,N,9.3,84.85
a0000531,2000531,531 Zerlina (1904 NW),Zerlina,N,N,12,17.804
a0000532,2000532,532 Herculina (1904 NY),Herculina,N,N,5.9,167.791
a0000533,2000533,533 Sara (1904 NZ),Sara,N,N,9.7,30.819
a0000534,2000534,534 Nassovia (1904 OA),Nassovia,N,N,9.7,32.333
a0000535,2000535,535 Montague (1904 OC),Montague,N,N,9.4,79.299
a0000536,2000536,536 Merapi (1904 OF),Merapi,N,N,8.2,147.066
a0000537,2000537,537 Pauly (1904 OG),Pauly,N,N,8.7,40.732
a0000538,2000538,538 Friederike (1904 OK),Friederike,N,N,9.6,70.64
a0000539,2000539,539 Pamina (1904 OL),Pamina,N,N,10,68.356
a0000540,2000540,540 Rosamunde (1904 ON),Rosamunde,N,N,10.7,19.152
a0000541,2000541,541 Deborah (1904 OO),Deborah,N,N,10.1,60.147
a0000542,2000542,542 Susanna (1904 OQ),Susanna,N,N,9.4,42.117
a0000543,2000543,543 Charlotte (1904 OT),Charlotte,N,N,9.5,45.613
a0000544,2000544,544 Jetta (1904 OU),Jetta,N,N,10,27.169
a0000545,2000545,545 Messalina (1904 OY),Messalina,N,N,8.8,112.631
a0000546,2000546,546 Herodias (1904 PA),Herodias,N,N,9.9,65.945
a0000547,2000547,547 Praxedis (1904 PB),Praxedis,N,N,9.8,52.462
