ID,BST_Depth,AVL_Depth,Splay_Depth
Row 715,716,8,9
Row 716,717,10,5
Row 717,718,9,5
Row 718,719,10,3
Row 719,720,6,5
Row 720,721,10,3
Row 721,722,9,4
Row 722,723,10,2
Row 723,724,8,7
Row 724,725,10,4
Row 725,726,9,4
Row 726,727,10,2
Row 727,728,7,4
Row 728,729,10,2
Row 729,730,9,3
Row 730,731,10,2
Row 731,732,8,7
Row 732,733,10,4
Row 733,734,9,4
Row 734,735,10,2
Row 735,736,5,4
Row 736,737,10,2
Row 737,738,9,3
Row 738,739,10,2
Row 739,740,8,6
Row 740,741,10,3
Row 741,742,9,4
Row 742,743,10,2
Row 743,744,7,4
Row 744,745,10,2
Row 745,746,9,3
Row 746,747,10,2
Row 747,748,8,8
Row 748,749,10,4
Row 749,750,9,4
Row 750,751,10,2
Row 751,752,6,4
Row 752,753,10,2
Row 753,754,9,3
Row 754,755,10,2
Row 755,756,8,6
Row 756,757,10,3
Row 757,758,9,4
Row 758,759,10,2
Row 759,760,7,4
Row 760,761,10,2
Row 761,762,9,3
Row 762,763,10,2
Row 763,764,8,6
Row 764,765,10,3
Row 765,766,9,4
Row 766,767,10,2
Row 767,768,2,4
Row 768,769,10,2
Row 769,770,9,3
Row 770,771,10,2
Row 771,772,8,5
Row 772,773,10,3
Row 773,774,9,4
Row 774,775,10,2
Row 775,776,7,4
Row 776,777,10,2
Row 777,778,9,3
Row 778,779,10,2
Row 779,780,8,8
Row 780,781,10,4
Row 781,782,9,4
Row 782,783,10,2
Row 783,784,6,4
Row 784,785,10,2
Row 785,786,9,3
Row 786,787,10,2
Row 787,788,8,6
Row 788,789,10,3
Row 789,790,9,4
Row 790,791,10,2
Row 791,792,7,4
Row 792,793,10,2
Row 793,794,9,3
Row 794,795,10,2
Row 795,796,8,6
Row 796,797,10,3
Row 797,798,9,4
Row 798,799,10,2
Row 799,800,5,4
Row 800,801,10,2
Row 801,802,9,3
Row 802,803,10,2
Row 803,804,8,5
Row 804,805,10,3
Row 805,806,9,4
Row 806,807,10,2
Row 807,808,7,4
Row 808,809,10,2
Row 809,810,9,3
Row 810,811,10,2
Row 811,812,8,7
Row 812,813,10,4
Row 813,814,9,4
Row 814,815,10,2
Row 815,816,6,4
Row 816,817,10,2
Row 817,818,9,3
Row 818,819,10,2
Row 819,820,8,6
Row 820,821,10,3
Row 821,822,9,4
Row 822,823,10,2
Row 823,824,7,4
Row 824,825,10,2
Row 825,826,9,3
Row 826,827,10,2
Row 827,828,8,6
Row 828,829,10,3
Row 829,830,9,4
Row 830,831,10,2
Row 831,832,4,4
Row 832,833,10,2
Row 833,834,9,3
Row 834,835,10,2
Row 835,836,8,5
Row 836,837,10,3
Row 837,838,9,4
Row 838,839,10,2
